入れ物	品名	数量	単位
-	ビジネスバッグ	スーツ ? 1 : 0	個
-	トレッキングポール	登山 ? 2 : 0	本
カバン	雨合羽	(登山 && 雨) ? 1 : 0	枚
カバン	スタンプ帳	未踏エリア ? 1 : 0	冊
カバン	ガイドブック	同行者 ? 1 : 0	冊
カバン	傘	(雨 || 雪) ? 1: 0	本
カバン	帽子	日射し ? 1 : 0	枚
カバン	MacBook Pro	(IT系イベント || 仕事) ? 1 : 0	個
カバン	iPhone	1	個
カバン	財布	1	個
カバン	ペン	1	本
カバン	メモ帳	1	冊
カバン	ノート	(仕事 || (泊数>2)) ? 1: 0	冊
カバン	交通系ICカード	1	枚
カバン	名刺入れ (名刺入り)	(IT系イベント || 仕事 || スーツ) ? 1 : 0	個
カバン	サングラス	1	本
カバン	A5ファイル	1	枚
カバン	A4ファイル	仕事 ? 1 : 0	枚
カバン	ハンカチ	1	枚
カバン	ポケッタブルパーカー(撥水)	(寒い || 超寒い) ? 0 : 1 	着
カバン＞財布	EX-ICカード	飛行機 ? 0 : 1	枚
カバン＞財布	EX身分証明用クレカ	飛行機 ? 0 : 1	枚
カバン＞茶ポーチ	モバイルバッテリー	1	個
カバン＞茶ポーチ	ポケットティッシュ	1	袋
カバン＞茶ポーチ	ウェットティッシュ	(登山 || 暑い) ? 1 : 0	袋
カバン＞茶ポーチ	歯ブラシ	1	本
カバン＞茶ポーチ	防水用ビニール袋	(雨 || 雪) ? 1: 0	枚
カバン＞茶ポーチ	カロリーメイト	(登山 || 田舎) ? 1 : 0	個
カバン＞茶ポーチ	カイロ	超寒い ? 2 : (寒い ? 1 : 0)	個
カバン＞半透明ポーチ	MacBook 電源アダプタ	(IT系イベント || 仕事) ? 1 : 0	個
カバン＞半透明ポーチ	ディスプレイアダプタ	仕事 ? 1 : 0	個
スーツケース＞スーツ袋	スーツ	スーツ ? 1 : 0	着
スーツケース＞外泊袋	洗濯用ハンガー	洗濯 ? 2 : 0	本
スーツケース＞靴袋	革靴	スーツ ? 1 : 0	足
外泊袋	シャツ	スーツ ? 1 : 0	枚
外泊袋	外出着	泊数	日分
外泊袋	インナーの靴下巻き	洗濯 ? 2 : 泊数	個
外泊袋	部屋着	同行者 ? 1 : 0	着
外泊袋	替えハンカチ	洗濯 ? 2 : 泊数	枚
外泊袋＞ネガネケース	メガネ	(仕事 || (泊数 > 2)) ? 1 : 0	本
外泊袋＞黒ポーチ	Lightning・USB 変換アダプタ	1	個
外泊袋＞黒ポーチ	iPhone 充電アダプタ	1	個
外泊袋＞黒ポーチ	電源タップ	同行者 ? 1 : 0	個
外泊袋＞黒ポーチ	目薬	(泊数 > 2) ? 1 : 0	本
外泊袋＞洗濯ポーチ	洗濯紐	洗濯 ? 1 : 0	本
外泊袋＞洗濯ポーチ	洗濯洗剤	洗濯 ? 泊数 : 0	回分
外泊袋＞洗濯ポーチ	洗濯ばさみ	洗濯 ? 4 : 0	個
外泊袋＞透明ポーチ	コンタクトレンズ	(泊数 < 3) ? 泊数 : 3	セット
外泊袋＞透明ポーチ	コンタクトレンズ保存液	泊数	本
外泊袋＞透明ポーチ	麺棒	泊数 * 3	本